WJSpecID,Scientific,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc
28,Struthio camelus,Struthio_camelus,Paleognathae,Paleognaths,Paleognaths,Ostrich,bow00028,LC,BL3,Struthionidae,Ostriches,2,STRUTHIONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
37,Rhea americana,Rhea_americana,Paleognathae,Paleognaths,Paleognaths,Greater Rhea,bow00037,NT,BL3,Rheidae,Rheas,3,RHEIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
38,Rhea pennata,Rhea_pennata,Paleognathae,Paleognaths,Paleognaths,Lesser Rhea,bow00038,NT,BL3,Rheidae,Rheas,3,RHEIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
45,Casuarius casuarius,Casuarius_casuarius,Paleognathae,Paleognaths,Paleognaths,Southern Cassowary,bow00045,VU,BL3,Casuariidae,Cassowaries,4,CASUARIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
46,Casuarius bennetti,Casuarius_bennetti,Paleognathae,Paleognaths,Paleognaths,Dwarf Cassowary,bow00046,NT,BL3,Casuariidae,Cassowaries,4,CASUARIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
47,Casuarius unappendiculatus,Casuarius_unappendiculatus,Paleognathae,Paleognaths,Paleognaths,Northern Cassowary,bow00047,VU,BL3,Casuariidae,Cassowaries,4,CASUARIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
48,Dromaius novaehollandiae,Dromaius_novaehollandiae,Paleognathae,Paleognaths,Paleognaths,Emu,bow00048,LC,BL3,Dromaiidae,Emus,5,CASUARIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
55,Apteryx australis,Apteryx_australis,Paleognathae,Paleognaths,Paleognaths,Southern Brown Kiwi,bow00055,VU,BL3,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
57,Apteryx owenii,Apteryx_owenii,Paleognathae,Paleognaths,Paleognaths,Little Spotted Kiwi,bow00057,NT,BL3,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
58,Apteryx haastii,Apteryx_haastii,Paleognathae,Paleognaths,Paleognaths,Great Spotted Kiwi,bow00058,VU,BL3,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
65,Tinamus tao,Tinamus_tao,Paleognathae,Paleognaths,Paleognaths,Grey Tinamou,bow00065,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
66,Tinamus solitarius,Tinamus_solitarius,Paleognathae,Paleognaths,Paleognaths,Solitary Tinamou,bow00066,NT,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
67,Tinamus osgoodi,Tinamus_osgoodi,Paleognathae,Paleognaths,Paleognaths,Black Tinamou,bow00067,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
68,Tinamus major,Tinamus_major,Paleognathae,Paleognaths,Paleognaths,Great Tinamou,bow00068,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
69,Tinamus guttatus,Tinamus_guttatus,Paleognathae,Paleognaths,Paleognaths,White-throated Tinamou,bow00069,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
70,Nothocercus bonapartei,Nothocercus_bonapartei,Paleognathae,Paleognaths,Paleognaths,Highland Tinamou,bow00070,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
71,Nothocercus julius,Nothocercus_julius,Paleognathae,Paleognaths,Paleognaths,Tawny-breasted Tinamou,bow00071,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
72,Nothocercus nigrocapillus,Nothocercus_nigrocapillus,Paleognathae,Paleognaths,Paleognaths,Hooded Tinamou,bow00072,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
73,Crypturellus berlepschi,Crypturellus_berlepschi,Paleognathae,Paleognaths,Paleognaths,Berlepsch's Tinamou,bow00073,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
74,Crypturellus cinereus,Crypturellus_cinereus,Paleognathae,Paleognaths,Paleognaths,Cinereous Tinamou,bow00074,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
75,Crypturellus soui,Crypturellus_soui,Paleognathae,Paleognaths,Paleognaths,Little Tinamou,bow00075,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
76,Crypturellus ptaritepui,Crypturellus_ptaritepui,Paleognathae,Paleognaths,Paleognaths,Tepui Tinamou,bow00076,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
77,Crypturellus obsoletus,Crypturellus_obsoletus,Paleognathae,Paleognaths,Paleognaths,Brown Tinamou,bow00077,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
78,Crypturellus cinnamomeus,Crypturellus_cinnamomeus,Paleognathae,Paleognaths,Paleognaths,Thicket Tinamou,bow00078,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
80,Crypturellus undulatus,Crypturellus_undulatus,Paleognathae,Paleognaths,Paleognaths,Undulated Tinamou,bow00080,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES
